01:01:13 | INFO | base_ammeter.py:31 | CircutorAmmeter is running on port 5002
01:01:16 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.01922937589960603A
01:01:16 | INFO | base_ammeter.py:39 | Connected by ('127.0.0.1', 53318)
01:01:16 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.5414314607419554, 0.8215708922207351, 0.7129072474126785, 0.38436634480030374, 0.14155981376586438, 0.7149515451446887, 0.1919892641091513, 0.462488296484164, 0.10330908658716004, 0.2587962810285529], Time Step: 0.00644769716829159s
01:01:16 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.027940258975929187A
01:01:16 | INFO | base_ammeter.py:39 | Connected by ('127.0.0.1', 53319)
01:01:16 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.1059389376049651, 0.3355873491287108, 0.9742737094909893, 0.6974338893702187, 0.1694668395764768, 0.2857510396194066, 0.6347165029097771, 0.3653252743480999, 0.8872851833276775, 0.6802296108269534], Time Step: 0.0036674145422607106s
01:01:16 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.018835871661364127A
01:01:16 | INFO | base_ammeter.py:39 | Connected by ('127.0.0.1', 53320)
01:01:16 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.8890741651909974, 0.7236599949819001, 0.1401431796464757, 0.8228746415510348, 0.20983771531187018, 0.29211770291069905, 0.388424180550919, 0.904487593783721, 0.6059246493238696, 0.8813579780265363], Time Step: 0.003950928158068999s
01:01:16 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.023144149173872454A
01:01:16 | INFO | base_ammeter.py:39 | Connected by ('127.0.0.1', 53321)
01:01:16 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.6133363836980875, 0.19311163000466514, 0.22279544622727204, 0.6745196387201807, 0.8526719290278939, 0.5149509927837852, 0.35855812316076585, 0.8939943774103286, 0.1776418425520106, 0.7014160706811442], Time Step: 0.004654302922097009s
01:01:16 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.02421632150766518A
01:01:16 | INFO | base_ammeter.py:39 | Connected by ('127.0.0.1', 53322)
01:01:16 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.8302248884385782, 0.8587811506707774, 0.5816931955368455, 0.9897437624484214, 0.9931249881294631, 0.4254019237394341, 0.997822801142052, 0.8987185786652647, 0.4961578003130027, 0.6541293867321402], Time Step: 0.002414636623753284s
01:01:16 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.018654995947442563A
01:01:16 | INFO | base_ammeter.py:39 | Connected by ('127.0.0.1', 53323)
01:01:16 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.9736588629602367, 0.20844291083251282, 0.34906724386217686, 0.7295318517548874, 0.8261951667301285, 0.8700455910742659, 0.8611495721948615, 0.6292208039419857, 0.5123597913961412, 0.8816965903294309], Time Step: 0.005420482635275936s
01:01:16 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.037083518532833634A
01:01:16 | INFO | base_ammeter.py:39 | Connected by ('127.0.0.1', 53324)
01:01:16 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.39827836062514854, 0.12634178807004323, 0.38213268170453285, 0.711158606114502, 0.8381472971792778, 0.9870475068064933, 0.235163360438426, 0.19903698197763284, 0.541061917521241, 0.671582465917108], Time Step: 0.005911909551576321s
01:01:16 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.030091329735045733A
01:01:16 | INFO | base_ammeter.py:39 | Connected by ('127.0.0.1', 53325)
01:01:16 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.4841015943937068, 0.19994316746383556, 0.34151960907518064, 0.8992342787951254, 0.9982620614264676, 0.7350940625326522, 0.3004239935528079, 0.8647204303073286, 0.3421623255436543, 0.5045276522360473], Time Step: 0.004988227925105893s
01:01:16 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.02828319833941331A
01:01:16 | INFO | base_ammeter.py:39 | Connected by ('127.0.0.1', 53326)
01:01:16 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.413275344634769, 0.2817551048701981, 0.38927935486083376, 0.9883638237894246, 0.6121815789939663, 0.11526002413118001, 0.10074440715452637, 0.27008510368896727, 0.18194947501771197, 0.330216816822825], Time Step: 0.0029214877368564877s
01:01:16 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.01076016371920782A
01:01:16 | INFO | base_ammeter.py:39 | Connected by ('127.0.0.1', 53327)
01:01:16 | INFO | Circutor_Ammeter.py:16 | CIRCUTOR Ammeter - Voltages: [0.30017843823324153, 0.4704085272668841, 0.8211510992539833, 0.8272043694329221, 0.6828540472785954, 0.8688308279553965, 0.5819488701974692, 0.6706797212465266, 0.6539328777256029, 0.7756441211614309], Time Step: 0.0060997636605206705s
01:01:16 | INFO | Circutor_Ammeter.py:20 | CIRCUTOR Current: 0.040580708361423926A
01:01:16 | INFO | base_ammeter.py:49 | Stopping CircutorAmmeter server on port 5002
